[2023-10-20 17-23-45] TRAIN | Epoch 0 | Loss : 8.2931 | MAE : 82.9656 | LR : 0.100000
[2023-10-20 17-23-53] VALID | Epoch 0 | Loss : 8.2186 | MAE : 110.2125 | LR : 0.100000
[2023-10-20 17-24-27] TRAIN | Epoch 1 | Loss : 8.3100 | MAE : 83.4664 | LR : 0.099975
[2023-10-20 17-24-35] VALID | Epoch 1 | Loss : 8.2186 | MAE : 97.9789 | LR : 0.099975
[2023-10-20 17-25-08] TRAIN | Epoch 2 | Loss : 8.3100 | MAE : 82.0417 | LR : 0.099901
[2023-10-20 17-25-14] VALID | Epoch 2 | Loss : 8.2186 | MAE : 80.0222 | LR : 0.099901
[2023-10-20 17-25-54] TRAIN | Epoch 3 | Loss : 8.3100 | MAE : 83.4497 | LR : 0.099778
[2023-10-20 17-26-01] VALID | Epoch 3 | Loss : 8.2186 | MAE : 99.1978 | LR : 0.099778
[2023-10-20 17-26-36] TRAIN | Epoch 4 | Loss : 8.3074 | MAE : 83.6987 | LR : 0.099606
[2023-10-20 17-26-43] VALID | Epoch 4 | Loss : 8.2186 | MAE : 11571.3389 | LR : 0.099606
[2023-10-20 17-27-16] TRAIN | Epoch 5 | Loss : 8.3100 | MAE : 84.3468 | LR : 0.099384
[2023-10-20 17-27-22] VALID | Epoch 5 | Loss : 8.2186 | MAE : 117.5194 | LR : 0.099384
[2023-10-20 17-27-55] TRAIN | Epoch 6 | Loss : 8.3100 | MAE : 86.0258 | LR : 0.099114
[2023-10-20 17-28-02] VALID | Epoch 6 | Loss : 8.2186 | MAE : 98.2662 | LR : 0.099114
[2023-10-20 17-28-35] TRAIN | Epoch 7 | Loss : 8.3100 | MAE : 85.3946 | LR : 0.098796
[2023-10-20 17-28-41] VALID | Epoch 7 | Loss : 8.2186 | MAE : 267.5305 | LR : 0.098796
[2023-10-20 17-29-15] TRAIN | Epoch 8 | Loss : 8.3100 | MAE : 85.7883 | LR : 0.098429
[2023-10-20 17-29-21] VALID | Epoch 8 | Loss : 8.2186 | MAE : 115.1033 | LR : 0.098429
[2023-10-20 17-29-55] TRAIN | Epoch 9 | Loss : 8.3100 | MAE : 87.1203 | LR : 0.098015
[2023-10-20 17-30-02] VALID | Epoch 9 | Loss : 8.2186 | MAE : 74.2235 | LR : 0.098015
[2023-10-20 17-30-35] TRAIN | Epoch 10 | Loss : 8.3100 | MAE : 86.4549 | LR : 0.097553
[2023-10-20 17-30-41] VALID | Epoch 10 | Loss : 8.2186 | MAE : 345.6240 | LR : 0.097553
[2023-10-20 17-31-15] TRAIN | Epoch 11 | Loss : 8.3100 | MAE : 85.3083 | LR : 0.097044
[2023-10-20 17-31-22] VALID | Epoch 11 | Loss : 8.2186 | MAE : 153.8559 | LR : 0.097044
[2023-10-20 17-31-56] TRAIN | Epoch 12 | Loss : 8.3100 | MAE : 86.2909 | LR : 0.096489
[2023-10-20 17-32-02] VALID | Epoch 12 | Loss : 8.2186 | MAE : 370.4670 | LR : 0.096489
[2023-10-20 17-32-36] TRAIN | Epoch 13 | Loss : 8.3100 | MAE : 87.6733 | LR : 0.095888
[2023-10-20 17-32-44] VALID | Epoch 13 | Loss : 8.2186 | MAE : 148.2498 | LR : 0.095888
[2023-10-20 17-33-18] TRAIN | Epoch 14 | Loss : 8.3100 | MAE : 85.9383 | LR : 0.095242
[2023-10-20 17-33-24] VALID | Epoch 14 | Loss : 8.2186 | MAE : 213.7427 | LR : 0.095242
